Date,Ret_m_Rf_dvdy
23/02/99,-0.000829578
24/02/99,-0.014152471
25/02/99,-0.006790944
26/02/99,-0.005462637
01/03/99,-0.001824628
02/03/99,-0.008731697
03/03/99,0.001722743
04/03/99,0.015238691
05/03/99,0.022791978
08/03/99,0.005605095
09/03/99,-0.002326353
10/03/99,0.005383737
11/03/99,0.008317729
12/03/99,-0.002454873
15/03/99,0.009668542
16/03/99,-0.000744188
17/03/99,-0.006644858
18/03/99,0.01425803
19/03/99,-0.013267518
22/03/99,-0.001827162
23/03/99,-0.027323712
24/03/99,0.005026522
25/03/99,0.016657645
26/03/99,-0.005660025
29/03/99,0.021040913
30/03/99,-0.007286706
31/03/99,-0.01118752
01/04/99,0.005626679
05/04/99,0.020887298
06/04/99,-0.002518667
07/04/99,0.006735092
08/04/99,0.012726683
09/04/99,0.003175465
12/04/99,0.007524445
13/04/99,-0.006576426
14/04/99,-0.016036726
15/04/99,-0.004287589
16/04/99,-0.002985401
19/04/99,-0.022705646
20/04/99,0.01278941
21/04/99,0.02259987
22/04/99,0.016775955
23/04/99,-0.001521611
26/04/99,0.002277527
27/04/99,0.00195651
28/04/99,-0.008833771
29/04/99,-0.006069963
30/04/99,-0.005783933
03/05/99,0.01439531
04/05/99,-0.016913679
05/05/99,0.01136159
06/05/99,-0.011457803
07/05/99,0.009607974
10/05/99,-0.0035674
11/05/99,0.011291127
12/05/99,0.00610314
13/05/99,0.00253972
14/05/99,-0.022068556
17/05/99,0.001195533
18/05/99,-0.004683798
19/05/99,0.008082418
20/05/99,-0.004092171
21/05/99,-0.006465966
24/05/99,-0.017997258
25/05/99,-0.01724182
26/05/99,0.015660528
27/05/99,-0.018124956
28/05/99,0.015750668
01/06/99,-0.005910305
02/06/99,0.000354108
03/06/99,0.003575581
04/06/99,0.021404601
07/06/99,0.005015118
08/06/99,-0.013035558
09/06/99,0.000923193
10/06/99,-0.012140603
11/06/99,-0.007141936
14/06/99,0.000207441
15/06/99,0.005447211
16/06/99,0.022160197
17/06/99,0.007037018
18/06/99,0.002120953
21/06/99,0.004506035
22/06/99,-0.009844116
23/06/99,-0.002183952
24/06/99,-0.013118221
25/06/99,-0.000428037
